State,Oil,Rubber,Aluminum,Tungsten,Steel,Chromium
Upper Volta,0,0,0,0,0,0
Ivory Coast,0,0,0,0,0,0
Bessarabia,0,0,0,0,0,0
Guinea,0,0,0,0,0,0
Niger,0,0,0,0,0,0
Tombouctou,0,0,0,0,0,0
Sidi Ifni,0,0,0,0,0,0
Ermland-Masuren,0,0,0,0,0,0
Picardy,0,0,4,0,12,0
Mauritanian Desert,0,0,0,0,0,0
North Kashmir,0,0,0,0,0,0
Salamanca,0,0,0,10,0,0
Cordoba,0,0,0,0,0,0
moldovia,0,0,0,0,0,0
Asturias,0,0,0,0,0,0
Valladolid,0,0,0,10,0,0
Basque Country,0,0,0,0,8,0
Guadalajara,0,0,0,0,0,0
Eastern Aragon,0,0,0,0,0,0
Santarem,0,0,0,0,0,20
North Angola,0,0,0,0,0,0
Istanbul,0,0,0,0,10,45
Amasya,0,0,0,0,0,0
Hatay,0,0,0,0,0,0
Luxemburg,0,0,0,0,14,0
Bocovina,0,0,0,0,0,0
Van,0,0,0,0,0,0
Moesia,1,0,0,0,0,0
Kosovo,0,0,0,0,2,0
Southern Serbia,0,0,0,0,0,0
Herzegovina,0,0,7,0,0,0
Northern Epirus,0,0,0,0,10,45
French Basque Country,0,0,0,0,0,0
Gdynia,0,0,0,0,0,0
Riga,0,0,0,0,1,0
Latgale,0,0,0,0,0,0
Oltenia,0,0,0,0,0,0
Zemgale,0,0,0,0,0,0
Saaremaa,0,0,0,0,0,0
Tallinn,0,0,0,0,0,0
Rakvere,0,0,0,0,0,0
Suduva,0,0,0,0,0,0
Aukstaitija,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0
Gobi,0,0,0,0,0,0
Khovd,0,0,0,0,0,0
Dornod,0,0,0,0,0,0
Banat,0,0,4,0,0,0
Khovsgol,0,0,0,0,0,0
Chenchnya-Ingushetia,9,0,0,0,0,0
Chukotka,0,0,0,0,0,0
Karakalpakstan,0,0,0,0,0,0
Yamalia,0,0,0,0,0,0
Nenetsia,7,0,0,0,0,0
Abkhazia,0,0,0,0,0,0
Kabardino-Balkaria,0,0,0,0,0,17
North Ossetia,0,0,0,0,0,8
Volga Germany,0,0,0,6,14,0
crisana,0,0,0,0,0,0
Bukhara,0,0,0,0,0,0
Khiva,0,0,0,0,0,0
Dashhowuz,0,0,0,0,0,0
Mari El,0,0,0,0,0,0
Balta,0,0,0,0,0,0
Haraghe,0,0,0,0,0,0
Bale,0,0,0,0,0,0
Sidamo,0,3,0,0,0,0
Illubabor,0,2,0,0,0,0
Welega,0,0,0,0,0,0
Transylvania,0,0,0,0,3,0
Gojjam,0,0,0,0,0,0
Begemder,0,0,0,0,0,0
Tigray,0,0,0,0,0,0
Wello,0,0,0,0,0,0
jubaland,0,0,0,0,0,0
Jura Mountains,0,0,18,0,0,0
Ticino,0,0,15,0,0,0
Western Swiss Alps,0,0,0,0,0,0
Voralberg,0,0,0,0,0,0
Puglia,0,0,0,0,0,0
Danzig,0,0,0,0,0,0
Trentino,0,0,0,0,0,0
Var,0,0,0,0,0,0
Istria,0,0,0,0,0,0
Ljubljana,0,0,0,0,0,0
Jawf,0,0,0,0,0,0
Tabuk,0,0,0,0,0,0
Asir-Makkah,0,0,0,0,0,0
Ha'il,0,0,0,0,0,0
Najiran,0,0,0,0,0,0
Dammam,3,0,0,0,0,0
Poznan,0,0,0,0,0,0
Cote-Nord,0,0,0,0,0,0
Saguenay,0,0,0,0,0,0
ouest du quebec,0,0,0,0,0,0
Maurice,0,0,0,0,0,0
Yukon,0,0,0,0,0,0
Northern Saskatchewan,0,0,0,0,0,0
Districts of Ontario,0,0,0,0,0,0
Northern Manitoba,0,0,0,0,0,0
Isan,0,0,0,0,0,0
Lanna,0,0,0,0,0,0
Lodz,0,0,0,0,0,0
North West Australia,0,0,0,0,0,0
South West Australia,0,0,0,0,0,0
North Queensland,0,0,0,0,0,0
South West Queensland,0,0,0,0,0,0
Magadan,0,0,0,0,0,0
Chukchi Peninsulay,0,0,0,0,0,0
Udachny,0,0,0,0,0,0
Verkhoyansk,0,0,0,0,0,0
Khatangsky,0,0,0,0,0,0
Kargopol,0,0,0,0,0,0
Kielce,3,0,0,0,5,0
Kotlas,0,0,0,0,0,0
Karagandy,0,0,0,0,0,0
Pavlodar,0,0,0,0,0,6
Kassala,0,0,0,0,0,0
Upper Nile,0,0,0,0,0,0
Bahr al Ghazal,0,0,0,0,0,0
Blue Nile,0,0,0,0,0,0
South Darfur,0,0,0,0,0,0
Lusambo,0,0,0,0,0,0
Elisabethville,0,0,0,2,0,0
Krakow,0,0,0,0,0,0
Costermansville,0,3,0,0,0,0
Zambesi,0,1,0,0,0,0
South West Angola,0,0,0,0,0,0
Karas,0,0,0,0,0,0
Kuneme,0,0,0,0,0,0
Kavango,0,0,0,0,0,0
Manica e Sofala,0,0,0,0,0,0
Zambezia-Mocambique,0,0,0,0,0,0
Gao,0,0,0,0,0,0
Kayes-Koulikoro,0,0,0,0,0,0
Czechoslovakia,0,0,0,0,5,0
Lwow,0,0,0,0,8,0
Benue,0,0,0,0,0,0
Borno,0,0,0,0,0,0
Sokoto,0,0,0,0,0,0
Garissa,0,0,0,0,0,0
Nyanza-Rift Valley,0,0,0,0,0,0
Mombasa,0,0,0,0,0,0
Socotra,0,0,0,0,0,0
Cairo,0,0,0,0,0,0
Afar,0,0,0,0,0,0
South Schleswig,0,0,0,0,0,0
Tarnopol,0,0,0,0,0,0
Bornholm,0,0,0,0,0,0
Fyn,0,0,0,0,0,0
Sonderjylland,0,0,0,0,0,0
Ostergotland,0,0,0,0,3,0
JanMayen,0,0,0,0,0,0
Bohuslan,0,0,0,0,0,0
Dalarna,0,0,0,0,20,0
Jamtland,0,0,0,0,20,0
Vasterbotten,0,0,0,35,39,15
Varmland,0,0,0,0,4,0
Lublin,0,0,0,0,0,0
Opplandene,0,0,5,0,0,0
Telemark,0,0,0,0,0,0
Agder,0,0,5,0,0,0
Helgeland,0,0,0,5,3,0
Troms,0,0,0,5,0,0
Finnmark,0,0,0,5,0,0
Turku,0,0,0,0,0,0
Hame,0,0,0,0,0,0
Kyme,0,0,0,0,0,0
Oulu,0,0,0,0,0,0
Volhynian,0,0,0,0,0,0
Mikkeli,0,0,0,0,0,0
Cumbria,0,0,5,0,20,0
Isle of Man,0,0,0,0,0,0
Shetland,0,0,0,0,0,0
Shkoder,0,0,1,0,0,1
Ceara,0,0,0,0,0,0
Pernambuco,0,0,0,0,0,0
Piaui,0,0,0,0,0,0
Para,0,10,0,0,0,0
Amapa,0,0,4,0,0,0
Polesie,0,0,0,0,0,0
Acre,0,0,6,0,0,0
Tocantins,0,0,0,0,0,0
Rondonia,0,0,0,0,0,0
Espirito Santo,0,0,0,0,1,0
Parana,0,0,0,0,0,0
Cerro Largo,0,0,0,0,2,0
Paysandu,3,0,0,0,0,0
Tacna,0,0,0,2,0,0
Easter Island,0,0,0,0,0,0
Aysen,1,0,1,0,0,0
Nowogrodek,0,0,0,0,0,0
Araucania,0,0,0,0,24,0
Arica,0,0,0,14,0,0
Atacama,0,0,0,0,0,0
Tierra del Fuego,1,0,0,0,0,0
Santa Cruz,3,0,0,0,0,0
Chubut,4,0,0,0,0,0
Santa Fe,6,0,0,0,0,0
Formosa,0,0,0,5,2,0
San Luis,0,0,0,0,0,0
Los Andes,0,0,0,0,0,0
Wilejka,0,0,0,0,0,0
San Juan,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Deep Amazonas,0,0,0,0,0,0
Rio Branco,0,0,0,0,0,0
Bialystok,0,0,0,0,0,0
Western Macedonia,0,0,6,0,0,20
Northern Dobruja,0,0,0,0,0,0
South Sudetenland,0,0,0,0,2,0
Bacs,0,0,0,0,0,0
South Transdanubia,1,0,20,0,0,0
Burgenland,0,0,0,0,0,0
Steiermark Karnten,0,0,1,0,15,0
Antwerp,0,0,0,0,10,0
Actual Baden,0,0,6,0,0,0
Kaiser Wilhelms Land,0,0,0,0,0,0
Mazurskie,0,0,0,0,0,0
Ardennes,0,0,0,0,9,0
Barotseland,0,0,0,4,0,16
Madras States,0,2,0,0,0,0
Deccan States,0,0,0,0,0,0
Bastar,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0
East Punjab,0,0,0,0,0,0
Waziristan,0,0,0,0,0,0
Baluchistan,0,0,0,0,0,0
Bahawalpur,0,0,0,0,0,0
Jutland,0,0,0,0,0,0
Manipur,0,0,0,0,0,0
Gwalior,0,0,0,0,0,0
Province of Aden,0,0,0,0,0,0
Kentung and Yawnghwe,0,0,0,0,0,0
Tenasserim,0,0,0,0,0,0
Pegu,0,0,0,0,0,0
Irrawaddy,0,0,0,0,0,0
Arakan,0,0,0,0,0,0
Sagaing,0,0,0,0,0,0
Federated Shan States,0,0,0,0,0,0
